name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-27,89.6,77,83.1,105.2,77,90.5,77.1,83.1,0.048,100,37.5,rain,0,0,25.1,12.8,138.7,1015.3,58.3,6,273.8,23.5,9,60,2025-08-27T05:56:13,2025-08-27T18:17:27,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-28,84.2,77,80.1,96.1,77,85,76.9,89.9,0.048,100,37.5,rain,0,0,19.5,11.4,118.5,1015.9,50.3,6.2,242.9,21,8,60,2025-08-28T05:56:11,2025-08-28T18:16:54,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-29,91.4,75.2,81.9,107.8,75.2,89.1,76.6,84.7,0.599,100,58.33,rain,0,0,18.1,10.3,101.9,1013.1,57.9,6.1,156.7,13.6,5,30,2025-08-29T05:56:10,2025-08-29T18:16:20,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-30,87.7,76.9,80.1,104.9,76.9,84,77.4,91.6,0.063,100,16.67,rain,0,0,24.8,11.4,108.6,1011.6,30.2,6.2,205.7,17.8,7,60,2025-08-30T05:56:07,2025-08-30T18:15:45,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,TTPP
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-31,89.5,76.9,81.5,107.8,76.9,88.4,77.8,89,0.048,100,33.33,rain,0,0,22.6,12.8,108.4,1012.8,36.7,5.9,223.2,19.4,9,60,2025-08-31T05:56:05,2025-08-31T18:15:10,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP"
"Princes Town, Trinidad, Trinidad And Tobago",2025-09-01,85.9,76.9,81.4,101.6,76.9,87.3,77.5,88.3,0.115,100,41.67,rain,0,0,23.5,11.4,113.3,1013.1,37.8,6.3,245.2,21.1,8,60,2025-09-01T05:56:02,2025-09-01T18:14:35,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP"
"Princes Town, Trinidad, Trinidad And Tobago",2025-09-02,87.9,75.2,79.5,102.7,75.2,83.1,76.5,91,0.248,100,37.5,rain,0,0,22.4,11.4,114.7,1013.6,50.2,6.1,254.7,22,9,30,2025-09-02T05:55:59,2025-09-02T18:13:59,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-09-03,87.8,75.2,80.7,102.4,75.2,86.7,76.7,88.4,0.202,100,54.17,rain,0,0,18.3,15,112.2,1013.1,47.8,6.3,240.7,20.7,8,60,2025-09-03T05:55:56,2025-09-03T18:13:23,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-09-04,89.6,77,82.2,102.4,77,88.4,76.9,84.7,0.3,100,37.5,rain,0,0,19.7,13.9,106.8,1012.9,49,6.2,248,21.3,9,75,2025-09-04T05:55:53,2025-09-04T18:12:47,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-09-05,87.8,77,80.6,102.4,77,85,76.9,88.9,0.183,100,75,rain,0,0,21.7,20.8,120.3,1013.4,58.2,6.2,242.1,21,8,30,2025-09-05T05:55:49,2025-09-05T18:12:10,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634"
