name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Scarborough, Tobago, Trinidad And Tobago",2025-09-14,87.8,77.0,82.5,102.4,77.0,90.2,77.1,84.3,0.327,100,62.5,9.2,114.6,1011.8,72.8,5.9,214.5,18.7,8,2025-09-14T05:52:29,2025-09-14T18:04:16,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-15,86.0,78.8,82.5,99.4,78.8,90.5,76.7,82.9,0.308,100,50.0,10.3,85.7,1012.3,34.8,6.2,265.1,22.9,9,2025-09-15T05:52:26,2025-09-15T18:03:36,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-16,87.8,78.8,82.5,102.4,78.8,90.0,77.1,84.3,0.19,100,62.5,13.9,95.5,1011.2,47.7,6.1,249.9,21.4,8,2025-09-16T05:52:23,2025-09-16T18:02:56,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-17,87.8,78.8,83.4,105.2,78.8,91.9,76.5,80.0,0.02,100,20.83,10.3,92.3,1010.7,58.8,6.2,279.4,24.0,9,2025-09-17T05:52:20,2025-09-17T18:02:16,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-18,89.6,80.6,84.4,108.2,87.1,95.0,77.8,80.9,0.004,100,4.17,8.1,97.9,1011.1,61.5,6.2,260.0,22.5,9,2025-09-18T05:52:17,2025-09-18T18:01:36,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-19,89.6,80.6,84.9,105.2,87.1,95.8,77.7,79.5,0.1,100,41.67,8.1,112.6,1012.5,62.8,6.2,251.1,21.7,9,2025-09-19T05:52:14,2025-09-19T18:00:57,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-20,87.8,80.6,84.6,105.2,85.4,95.3,77.4,79.2,0.227,100,70.83,10.3,114.6,1013.5,46.3,6.1,253.1,22.0,9,2025-09-20T05:52:11,2025-09-20T18:00:17,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-21,89.6,78.8,83.8,105.2,78.8,91.9,76.8,80.0,0.028,100,20.83,13.9,93.9,1012.7,39.3,6.0,282.7,24.5,9,2025-09-21T05:52:09,2025-09-21T17:59:37,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-22,89.6,77.0,84.4,105.2,77.0,93.5,76.3,77.4,0.076,100,58.33,12.8,79.1,1011.6,40.7,6.2,260.1,22.4,9,2025-09-22T05:52:06,2025-09-22T17:58:57,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-23,89.6,80.6,84.4,108.2,86.2,95.1,77.6,80.3,0.461,100,62.5,11.4,115.3,1011.8,53.9,6.6,185.1,16.0,7,2025-09-23T05:52:03,2025-09-23T17:58:18,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-09-24,89.6,82.4,85.8,105.2,90.9,97.4,77.5,76.6,0.024,100,25.0,11.4,122.5,1013.8,52.4,6.6,253.8,22.0,8,2025-09-24T05:52:01,2025-09-24T17:57:39,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTCP,TDW00000410"
